feature,importance,model
spread_line,0.6735728853215993,logistic_regression
away_win_pct,-0.10123083003831836,logistic_regression
home_implied_prob,0.09074114045895226,logistic_regression
implied_prob_diff,0.08999670116176949,logistic_regression
is_turf,0.0883922475815559,logistic_regression
total_line,-0.061172861790637266,logistic_regression
is_dome,-0.06093952082308739,logistic_regression
home_win_pct,-0.04218599066165733,logistic_regression
win_pct_diff,0.03959148808368828,logistic_regression
away_point_diff_avg,0.039519178900572875,logistic_regression
div_game,-0.038539460559621916,logistic_regression
away_points_for_avg,0.03269400876098877,logistic_regression
temp,-0.02842916026781708,logistic_regression
away_points_allowed_avg,-0.027154621406580013,logistic_regression
home_points_for_avg,0.021402654612013104,logistic_regression
home_point_diff_avg,0.018626441402841552,logistic_regression
points_allowed_diff,-0.015918218982679744,logistic_regression
wind,-0.014535969007345271,logistic_regression
point_diff_diff,-0.014310069894056985,logistic_regression
rest_diff,0.009903039459689223,logistic_regression
points_for_diff,-0.007646227027098319,logistic_regression
home_points_allowed_avg,-0.005101878206399652,logistic_regression
games_played_diff,-0.004931500068003118,logistic_regression
