feature,importance,model
spread_line,0.6812378259125209,logistic_regression
is_turf,0.08976769428599558,logistic_regression
home_implied_prob,0.0894269873884015,logistic_regression
implied_prob_diff,0.08800170644710834,logistic_regression
is_dome,-0.05876996848323908,logistic_regression
total_line,-0.055207532501640254,logistic_regression
div_game,-0.0402515197010984,logistic_regression
temp,-0.02979618659628596,logistic_regression
wind,-0.016371864514114817,logistic_regression
rest_diff,0.008631450004512367,logistic_regression
